id,local,latlong
1,"Cachoeira do Caracol","-29.310803,-50.854238"
2,"Cachoeira do Salto Grande","-26.392177,-49.355748"
3,"Cataratas do Iguaçu","-25.690346,-54.440839"
4,"Cachoeira do Itambé","-21.290040,-47.145398"
5,"Cachoeira do Tabuleiro","-19.088765,-43.551510"
6,"Cachoeira Conde D'eu","-22.139910,-42.654060"
7,"Cachoeira da Fumaça","-20.624641,-41.602874"
8,"Cachoeira Boca da Onça","-20.740040,-56.734793"
9,"Cachoeira Véu da Noiva","-13.856665,-47.454317"
10,"Cachoeira Santa Bárbara","-13.539699,-47.492756"
11,"Cachoeira do Tororó","-15.983273,-47.834249"
12,"Cachoeira do Formiga","-10.344702,-46.488353"