local,latlong
"Cachoeira do Caracol","-29.310803,-50.854238"
"Cachoeira do Salto Grande","-26.392177,-49.355748"
"Cataratas do Iguacu","-25.690346,-54.440839"
"Cachoeira do Itambe","-21.290040,-47.145398"
"Cachoeira do Tabuleiro","-19.088765,-43.551510"
"Cachoeira Conde Deu","-22.139910,-42.654060"
"Cachoeira da Fumaca","-20.624641,-41.602874"
"Cachoeira Boca da Onca","-20.740040,-56.734793"
"Cachoeira Veu da Noiva","-13.856665,-47.454317"
"Cachoeira Santa Barbara","-13.539699,-47.492756"
"Cachoeira do Tororo","-15.983273,-47.834249"
"Cachoeira do Formiga","-10.344702,-46.488353"